"","from","to","type1","type2","gene1","gene2","db","pcl1","pcl2","pcl3"
"208","P42345","ENSG00000187193","P","T","MTOR","MT1X",FALSE,0.418227215980025,0.742821473158552,0.121098626716604
"209","P42345","ENSG00000079999","P","T","MTOR","KEAP1",TRUE,0.591760299625468,0.553058676654182,0.3270911360799
"210","P42345","O14980","P","P","MTOR","XPO1",TRUE,0.453183520599251,0.164794007490637,0.885143570536829
"211","P42345","Q14687_S1101","P","PP","MTOR","GSE1",FALSE,0.233458177278402,0.735330836454432,0.280898876404494
"212","P42345","P21333_S2152","P","PP","MTOR","FLNA",TRUE,0.606741573033708,0.514357053682896,0.375780274656679
"213","P42345","Q96QT4_S727","P","PP","MTOR","TRPM7",FALSE,0.284644194756554,0.865168539325843,0.157303370786517
"214","P42345","P10636_T498","P","PP","MTOR","MAPT",TRUE,0.888888888888889,0.219725343320849,0.15605493133583
"215","P42345","P28482_Y187","P","PP","MTOR","MAPK1",TRUE,0.455680399500624,0.861423220973783,0.00249687890137328
"217","P49815","ENSG00000156508","P","T","TSC2","EEF1A1",TRUE,0.400749063670412,0.33832709113608,0.726591760299625
"227","P55060","ENSG00000156508","P","T","CSE1L","EEF1A1",TRUE,0.360799001248439,0.129837702871411,0.776529338327091
"229","P55265","ENSG00000168036","P","T","ADAR","CTNNB1",TRUE,0.329588014981273,0.750312109862672,0.488139825218477
"234","P63104","ENSG00000156508","P","T","YWHAZ","EEF1A1",TRUE,0.398252184769039,0.395755305867665,0.697877652933833
"237","P68104","ENSG00000185122","P","T","EEF1A1","HSF1",TRUE,0.350811485642946,0.860174781523096,0.355805243445693
"238","P68104","P08727","P","P","EEF1A1","KRT19",TRUE,0.895131086142322,0.139825218476904,0.253433208489388
"239","P68104","P31327_S408","P","PP","EEF1A1","CPS1",TRUE,0.203495630461923,0.862671660424469,0.187265917602996
"240","P68104","Q9H4A3_T2245","P","PP","EEF1A1","WNK1",FALSE,0.343320848938826,0.852684144818976,0.414481897627965
"250","Q07820","ENSG00000160710","P","T","MCL1","ADAR",FALSE,0.893882646691635,0.202247191011236,0.585518102372035
"251","Q07820","ENSG00000147649","P","T","MCL1","MTDH",TRUE,0.254681647940075,0.429463171036205,0.800249687890137
"252","Q07820","ENSG00000119616","P","T","MCL1","FCF1",FALSE,0.846441947565543,0.545568039950062,0.436953807740325
"253","Q07820","P42345","P","P","MCL1","MTOR",TRUE,0.222222222222222,0.841448189762796,0.388264669163546
"254","Q07820","P49427","P","P","MCL1","CDC34",FALSE,0.260923845193508,0.247191011235955,0.895131086142322
"255","Q07820","Q53GS7","P","P","MCL1","GLE1",FALSE,0.385767790262172,0.210986267166042,0.697877652933833
"256","Q07820","Q99460","P","P","MCL1","PSMD1",FALSE,0.702871410736579,0.873907615480649,0.183520599250936
"257","Q07820","Q9BV73","P","P","MCL1","CEP250",FALSE,0.00499375780274657,0.736579275905119,0.689138576779026
"258","Q07820","P23528_S41","P","PP","MCL1","CFL1",TRUE,0.409488139825218,0.147315855181024,0.81772784019975
"259","Q07820","Q00987_S166","P","PP","MCL1","MDM2",TRUE,0.576779026217228,0.652933832709114,0.00374531835205993
"265","Q86UE4","ENSG00000135679","P","T","MTDH","MDM2",TRUE,0.302122347066167,0.247191011235955,0.720349563046192
"266","Q86UE4","ENSG00000172915","P","T","MTDH","NBEA",FALSE,0.473158551810237,0.232209737827715,0.622971285892634
"267","Q86UE4","ENSG00000183684","P","T","MTDH","ALYREF",FALSE,0.207240948813983,0.800249687890137,0.240948813982522
"268","Q86UE4","ENSG00000181143","P","T","MTDH","MUC16",FALSE,0.213483146067416,0.820224719101124,0.755305867665418
"269","Q86UE4","O75131","P","P","MTDH","CPNE3",TRUE,0.199750312109863,0.133583021223471,0.891385767790262
"270","Q86UE4","P55060","P","P","MTDH","CSE1L",FALSE,0,0.838951310861423,0.401997503121099
